5,8688.316666666668,0.531,0.656,0.79
10,16089.1,0.544,0.699,0.893
20,28213.35,0.636,0.826,1.203
30,38517.95,0.683,0.932,1.472
40,46001.96666666667,0.752,1.094,1.675
50,50593.15,0.849,1.326,1.894
60,54392.666666666664,0.933,1.604,2.237
70,56514.416666666664,1.033,1.912,2.763
80,60063.48333333333,1.11,2.128,3.007
