5,8874.783333333333,0.496,0.627,0.759
10,15992.166666666666,0.581,0.716,0.888
20,28569.45,0.624,0.815,1.225
30,39701.03333333333,0.678,0.897,1.419
40,47818.48333333333,0.74,1.025,1.628
50,53124.46666666667,0.819,1.247,1.846
60,56311.916666666664,0.922,1.492,2.0958599999999703
70,58750.48333333333,1.018,1.765,2.457
80,61352.71666666667,1.106,2.004,2.7373799999999675
