| LEA47 | 8310-5 | 60.7 |
| LEA47 | 55758-7 | 34.2 |
| LEA47 | 72514-3 | 41.5 |
| LEA58 | 8310-5 | 56.0 |
| LEA58 | 55758-7 | 59.1 |
| LEA58 | 72514-3 | 55.0 |
| LEA79 | 8310-5 | 49.1 |
| LEA79 | 55758-7 | 55.3 |
| LEA79 | 72514-3 | 57.7 |
| A5N46 | 8310-5 | 124.4 |
| A5N46 | 55758-7 | 113.1 |
| A5N46 | 72514-3 | 138.5 |
