id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
f6431457-161b-5b46-9217-573c20c00070	20240601	1	449080006	900000000000534007	900000000000012004	20240601	20240601
f6431457-161b-5b46-9217-573c20c00070	20240701	1	449080006	900000000000534007	900000000000012004	20240701	20240701
f6431457-161b-5b46-9217-573c20c00070	20240801	1	449080006	900000000000534007	900000000000012004	20240801	20240801
f6431457-161b-5b46-9217-573c20c00070	20240901	1	449080006	900000000000534007	900000000000012004	20240901	20240901
f6431457-161b-5b46-9217-573c20c00070	20241001	1	449080006	900000000000534007	900000000000012004	20241001	20241001
1244116f-fdb5-5645-afcc-5281288409da	20020131	1	900000000000207008	900000000000534007	900000000000012004	20020131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20020731	1	900000000000207008	900000000000534007	900000000000012004	20020731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20030131	1	900000000000207008	900000000000534007	900000000000012004	20030131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20030731	1	900000000000207008	900000000000534007	900000000000012004	20030731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20040131	1	900000000000207008	900000000000534007	900000000000012004	20040131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20040731	1	900000000000207008	900000000000534007	900000000000012004	20040731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20050131	1	900000000000207008	900000000000534007	900000000000012004	20050131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20050731	1	900000000000207008	900000000000534007	900000000000012004	20050731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20060131	1	900000000000207008	900000000000534007	900000000000012004	20060131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20060731	1	900000000000207008	900000000000534007	900000000000012004	20060731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20070131	1	900000000000207008	900000000000534007	900000000000012004	20070131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20070731	1	900000000000207008	900000000000534007	900000000000012004	20070731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20080131	1	900000000000207008	900000000000534007	900000000000012004	20080131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20080731	1	900000000000207008	900000000000534007	900000000000012004	20080731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20090131	1	900000000000207008	900000000000534007	900000000000012004	20090131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20090731	1	900000000000207008	900000000000534007	900000000000012004	20090731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20100131	1	900000000000207008	900000000000534007	900000000000012004	20100131	20020131
1244116f-fdb5-5645-afcc-5281288409da	20100731	1	900000000000207008	900000000000534007	900000000000012004	20100731	20020131
1244116f-fdb5-5645-afcc-5281288409da	20110131	1	900000000000207008	900000000000534007	900000000000012004	20110131	20110131
1244116f-fdb5-5645-afcc-5281288409da	20110731	1	900000000000207008	900000000000534007	900000000000012004	20110731	20110731
