| 100k-fh | LEA25  | 29463-7 | 13.6 kg |  100 k |     1.40 |  0.046 |  71.3 k |
| 100k-fh | LEA25  | 29463-7 | 75.3 kg |  100 k |     0.86 |  0.007 | 116.4 k |
| 100k-fh | LEA25  | 29463-7 |  185 kg |  100 k |     0.44 |  0.018 | 228.2 k |
| 100k-fh | LEA36  | 29463-7 | 13.6 kg |  100 k |     0.78 |  0.003 | 127.9 k |
| 100k-fh | LEA36  | 29463-7 | 75.3 kg |  100 k |     0.49 |  0.015 | 202.8 k |
| 100k-fh | LEA36  | 29463-7 |  185 kg |  100 k |     0.25 |  0.006 | 397.9 k |
| 100k-fh | LEA47  | 29463-7 | 13.6 kg |  100 k |     0.45 |  0.005 | 222.7 k |
| 100k-fh | LEA47  | 29463-7 | 75.3 kg |  100 k |     0.29 |  0.005 | 349.2 k |
| 100k-fh | LEA47  | 29463-7 |  185 kg |  100 k |     0.15 |  0.005 | 663.4 k |
| 100k-fh | LEA58  | 29463-7 | 13.6 kg |  100 k |     0.30 |  0.002 | 331.9 k |
| 100k-fh | LEA58  | 29463-7 | 75.3 kg |  100 k |     0.19 |  0.002 | 536.2 k |
| 100k-fh | LEA58  | 29463-7 |  185 kg |  100 k |     0.10 |  0.004 | 976.5 k |
