| 100k    | LEA25  | 17861-6 |    2 k |     0.20 |  0.007 | 501.6 k |
| 100k    | LEA25  | 8310-5  |   60 k |     0.30 |  0.009 | 335.1 k |
| 100k    | LEA25  | 72514-3 |  100 k |     0.37 |  0.007 | 273.7 k |
| 100k-fh | LEA25  | 788-0   |    2 k |     0.21 |  0.009 | 475.3 k |
| 100k-fh | LEA25  | 44261-6 |   57 k |     0.30 |  0.012 | 331.4 k |
| 100k-fh | LEA25  | 72514-3 |  100 k |     0.38 |  0.021 | 265.8 k |
| 1M      | LEA25  | 17861-6 |   25 k |     8.84 |  0.056 | 113.2 k |
| 1M      | LEA25  | 8310-5  |  603 k |    12.41 |  0.022 |  80.6 k |
| 1M      | LEA25  | 72514-3 |  998 k |    14.35 |  0.100 |  69.7 k |
