| 100k    | LEA58  | 29463-7 | 13.6 kg |   10 k |     0.47 |  0.005 | 212.4 k |
| 100k    | LEA58  | 29463-7 | 75.3 kg |   50 k |     0.35 |  0.005 | 282.9 k |
| 100k    | LEA58  | 29463-7 |  185 kg |  100 k |     0.13 |  0.001 | 750.0 k |
| 100k-fh | LEA58  | 29463-7 | 13.6 kg |  100 k |     0.37 |  0.012 | 273.7 k |
| 100k-fh | LEA58  | 29463-7 | 75.3 kg |  100 k |     0.22 |  0.011 | 446.1 k |
| 100k-fh | LEA58  | 29463-7 |  185 kg |  100 k |     0.14 |  0.002 | 737.5 k |
| 1M      | LEA58  | 29463-7 | 13.6 kg |   99 k |     4.97 |  0.041 | 201.4 k |
| 1M      | LEA58  | 29463-7 | 75.3 kg |  500 k |     3.14 |  0.009 | 318.5 k |
| 1M      | LEA58  | 29463-7 |  185 kg |  998 k |     1.26 |  0.005 | 794.0 k |
