| 100k    | LEA58  | 17861-6 |    2 k |     0.06 |  0.002 |  1689 k |
| 100k    | LEA58  | 8310-5  |   60 k |     0.07 |  0.003 |  1516 k |
| 100k    | LEA58  | 72514-3 |  100 k |     0.08 |  0.004 |  1259 k |
| 100k-fh | LEA58  | 788-0   |    2 k |     0.06 |  0.003 |  1659 k |
| 100k-fh | LEA58  | 44261-6 |   57 k |     0.07 |  0.002 |  1521 k |
| 100k-fh | LEA58  | 72514-3 |  100 k |     0.08 |  0.001 |  1232 k |
| 1M      | LEA58  | 17861-6 |   25 k |     0.49 |  0.004 |  2026 k |
| 1M      | LEA58  | 8310-5  |  603 k |     0.54 |  0.009 |  1842 k |
| 1M      | LEA58  | 72514-3 |  998 k |     0.63 |  0.007 |  1579 k |
