| 100k    | LEA47  | 29463-7 | 13.6 kg |   10 k |     0.76 |  0.006 | 131.9 k |
| 100k    | LEA47  | 29463-7 | 75.3 kg |   50 k |     0.50 |  0.006 | 200.2 k |
| 100k    | LEA47  | 29463-7 |  185 kg |  100 k |     0.14 |  0.002 | 702.5 k |
| 100k-fh | LEA47  | 29463-7 | 13.6 kg |  100 k |     0.45 |  0.005 | 222.7 k |
| 100k-fh | LEA47  | 29463-7 | 75.3 kg |  100 k |     0.29 |  0.005 | 349.2 k |
| 100k-fh | LEA47  | 29463-7 |  185 kg |  100 k |     0.15 |  0.005 | 663.4 k |
| 1M      | LEA47  | 29463-7 | 13.6 kg |   99 k |   140.91 |  1.830 |   7.1 k |
| 1M      | LEA47  | 29463-7 | 75.3 kg |  500 k |     9.74 |  0.061 | 102.7 k |
| 1M      | LEA47  | 29463-7 |  185 kg |  998 k |     1.31 |  0.006 | 760.6 k |
