| 100k    | LEA36  | 29463-7 | 13.6 kg |   10 k |     1.28 |  0.006 |  78.4 k |
| 100k    | LEA36  | 29463-7 | 75.3 kg |   50 k |     0.84 |  0.005 | 119.7 k |
| 100k    | LEA36  | 29463-7 |  185 kg |  100 k |     0.25 |  0.008 | 395.9 k |
| 100k-fh | LEA36  | 29463-7 | 13.6 kg |  100 k |     0.78 |  0.003 | 127.9 k |
| 100k-fh | LEA36  | 29463-7 | 75.3 kg |  100 k |     0.49 |  0.015 | 202.8 k |
| 100k-fh | LEA36  | 29463-7 |  185 kg |  100 k |     0.25 |  0.006 | 397.9 k |
| 1M      | LEA36  | 29463-7 | 13.6 kg |   99 k |   432.80 |  1.586 |   2.3 k |
| 1M      | LEA36  | 29463-7 | 75.3 kg |  500 k |   265.29 |  1.618 |   3.8 k |
| 1M      | LEA36  | 29463-7 |  185 kg |  998 k |     7.72 |  0.045 | 129.5 k |
