| 100k    | LEA36  | 17861-6 |    2 k |     0.12 |  0.006 | 858.5 k |
| 100k    | LEA36  | 8310-5  |   60 k |     0.16 |  0.008 | 613.2 k |
| 100k    | LEA36  | 72514-3 |  100 k |     0.21 |  0.008 | 483.7 k |
| 100k-fh | LEA36  | 788-0   |    2 k |     0.12 |  0.007 | 860.0 k |
| 100k-fh | LEA36  | 44261-6 |   57 k |     0.17 |  0.008 | 573.5 k |
| 100k-fh | LEA36  | 72514-3 |  100 k |     0.20 |  0.007 | 490.9 k |
| 1M      | LEA36  | 17861-6 |   25 k |     4.38 |  0.026 | 228.3 k |
| 1M      | LEA36  | 8310-5  |  603 k |     6.30 |  0.038 | 158.8 k |
| 1M      | LEA36  | 72514-3 |  998 k |     7.30 |  0.025 | 137.1 k |
