| 100k    | LEA47  | 17861-6 |    2 k |     0.11 |  0.004 | 887.4 k |
| 100k    | LEA47  | 8310-5  |   60 k |     0.13 |  0.004 | 746.2 k |
| 100k    | LEA47  | 72514-3 |  100 k |     0.15 |  0.004 | 647.7 k |
| 100k-fh | LEA47  | 788-0   |    2 k |     0.11 |  0.002 | 905.1 k |
| 100k-fh | LEA47  | 44261-6 |   57 k |     0.15 |  0.003 | 685.5 k |
| 100k-fh | LEA47  | 72514-3 |  100 k |     0.17 |  0.006 | 603.6 k |
| 1M      | LEA47  | 17861-6 |   25 k |     1.06 |  0.007 | 940.1 k |
| 1M      | LEA47  | 8310-5  |  603 k |     1.45 |  0.010 | 689.4 k |
| 1M      | LEA47  | 72514-3 |  998 k |     1.71 |  0.006 | 586.1 k |
